"1","omgaan met een slijptol of schuurmachine","1","R","mit einer Flex oder Schleifmaschine arbeiten",,"using a grinder or sander","jdjdjd"
"2","met behulp van formules wiskundige sommen oplossen","1","I","mit Formeln mathematische Aufgaben lÃ¶sen",,"using formulas to solve mathematical equations",
"5","een poster of flyer ontwerpen","1","A","ein Poster oder einen Flyer entwerfen",,"designing a poster or a flyer",
"6","een kind leren fietsen","1","S","einem Kind Radfahren beibringen",,"learning a child how to cycle",
"7","andere mensen overtuigen","1","O","andere Menschen Ã¼berzeugen",,"convincing other people",
"8","zakelijke documenten opstellen","1","C","geschÃ¤ftliche Dokumente aufsetzen",,"drafting corporate/legal documents","hhjh"
"9","een vloer leggen","1","R","Parkett verlegen",,"floor laying",
"10","de functie van kraakbeen omschrijven","1","I","die Funktion von Knorpel beschreiben",,"describe the function of cartilage",
"11","meezingen in een koor","1","A","in einem Chor singen",,"sing in a choir",
"12","leden werven voor een goed doel","1","S","Mitglieder fÃ¼r eine gemeinnÃ¼tzige Organisation werben",,"recruit members for a non-profit organization ",
"13","voorzitter zijn bij een vergadering","1","O","den Vorsitz bei einer SItzung fÃ¼hren",,"being the chairman during a meeting",
"14","vaardig zijn met spreadsheetberekeningen in Excel","1","C","fÃ¤hig sein in Tabellenkalkulationen in Excel ",,"being proficient with spreadsheet calculations in Excel",
"15","tuinverlichting installeren en aansluiten","1","R","Gartenbeleuchtung anlegen und installieren",,"installing and connecting garden lighting ",
"16","uitleggen hoe de ozonlaag werkt","1","I","erklÃ¤ren wie die Ozonschicht funktioniert",,"explaining how the ozone layer works",
"17","boetseren of beeldhouwen","1","A","Modellieren oder Bildhauen",,"modeling or sculpting",
"18","een ziek iemand verzorgen","1","S","eine kranke Person versorgen",,"taking care of a sick person",
"19","het werk van anderen controleren","1","O","die Arbeit von anderen kontrollieren",,"checking/verifying the work of others",
"20","prijsvergelijkingen maken om te onderzoeken wat het voordeligst is","1","C","Preisvergleiche erstellen um herauszufinden welche Option am gÃ¼nstigsten ist",,"making price comparisons to find the best deal",
"21","een auto starten met behulp van startkabels","1","R","ein Auto mit Starthilfekabeln anlassen",,"starting a car using jumper cables",
"22","Een wetenschappelijke tekst of rapportage schrijven","1","I","einen wissenschaftlichen Text oder Report schreiben",,"writing a scientific paper or report",
